participant_id,n_clicks,nll,aic,bic,accuracy,converged,fit_time_s,k_field,omega_base,zeta,m0,gain,a_sensitivity,temperature
mmgkzukxhc834b,1054,646.5882945177696,1307.176589035539,1341.8990231392484,0.6631878557874763,True,221.632896900177,2.0666927377682702,1.6599204653926773,4.4433857443651315,3.1677536539162268,0.07566686314444804,0.36165731932599904,0.3415425320226655
mmglwqjldp7qzs,583,342.06431266832345,698.1286253366469,728.7059356411004,0.6740994854202401,False,239.71523904800415,2.709348618738035,0.7850386726616317,4.824604249496349,0.5193286020469761,10.913416247400798,0.3,0.058859439507151966
mmgnnwigzcjcjb,812,510.8887162326183,1035.7774324652366,1068.6739348463684,0.6354679802955665,False,280.3600687980652,3.3480484642051516,1.2241415674673004,0.1,10.0,0.0,3.0,0.43660915953567847
mmgp4bc8msbt9i,1107,676.9300071240177,1367.8600142480354,1402.925876776996,0.6522131887985546,False,365.80436301231384,1.2692287405567795,1.5389061907760715,2.4665192888892133,2.756005577890977,0.006816491689018981,0.3,0.26830379056877524
mmgp4tj5u4fkle,971,619.4915919132408,1252.9831838264815,1287.1314691045209,0.6302780638516993,True,228.24089765548706,7.311492362509899,1.4275172518933628,3.803897605338039,6.874022170401311,0.4879299892798018,0.5176424048227672,0.35134152081692893
mmgp5kmow73uh4,292,167.41902325957943,348.83804651915887,374.57532313503685,0.6917808219178082,False,248.970605134964,6.718046674761939,0.3979679127563351,0.1,9.94638314878686,0.1475428974404623,0.8932363271814637,0.12118945716326716
mmgp92mecyqm9v,1176,698.3456986803842,1410.6913973607684,1446.1805162599785,0.6683673469387755,True,292.395094871521,4.73290770063742,0.8999929845526988,5.0,0.5,0.1119708760187101,2.287326769626156,0.4666360468051023
mmgp978sldfue2,976,640.7644797177295,1295.528959435459,1329.7131975403506,0.6168032786885246,False,302.66089701652527,3.2527144458810993,1.0936813218039347,0.80543691949601,6.405362672545541,0.008037714113085147,1.0681664539128197,0.9988074401008799
mmgp9zmmkmd16z,1034,648.1505481770545,1310.301096354109,1344.8894267395876,0.6421663442940039,False,283.2490658760071,1.9249945005470326,1.7728364523886473,0.7001293454098099,9.197720377826556,0.06997398566057998,0.3,0.22030194921643756
mmgpaypnlftqhj,873,538.2514428384145,1090.502885676829,1123.9064345677061,0.6460481099656358,False,272.42412304878235,3.22849098399915,1.0187438721521542,0.28517375098924463,5.54526070873924,0.00607034034424421,0.41775789782746564,0.3422551229348665
